prb0.0005
2025-05-14 13:12:16
Dł. fali (nm);Absorbancja
750,00;-0,137440
749,00;-0,133442
748,00;-0,134774
747,00;-0,134400
746,00;-0,133940
745,00;-0,132653
744,00;-0,133395
743,00;-0,134235
742,00;-0,131819
741,00;-0,131713
740,00;-0,136402
739,00;-0,131556
738,00;-0,133828
737,00;-0,130848
736,00;-0,134246
735,00;-0,136484
734,00;-0,132426
733,00;-0,131267
732,00;-0,136152
731,00;-0,133897
730,00;-0,133113
729,00;-0,135548
728,00;-0,135989
727,00;-0,137665
726,00;-0,138897
725,00;-0,134764
724,00;-0,136962
723,00;-0,135834
722,00;-0,137893
721,00;-0,136906
720,00;-0,137870
719,00;-0,138222
718,00;-0,138653
717,00;-0,140469
716,00;-0,139960
715,00;-0,139314
714,00;-0,138617
713,00;-0,138502
712,00;-0,138260
711,00;-0,137709
710,00;-0,137755
709,00;-0,138126
708,00;-0,138935
707,00;-0,138838
706,00;-0,137321
705,00;-0,138935
704,00;-0,139428
703,00;-0,140971
702,00;-0,139039
701,00;-0,136376
700,00;-0,137013
699,00;-0,137079
698,00;-0,142556
697,00;-0,139796
696,00;-0,136768
695,00;-0,137892
694,00;-0,136252
693,00;-0,136804
692,00;-0,136263
691,00;-0,136495
690,00;-0,136664
689,00;-0,137503
688,00;-0,135147
687,00;-0,137181
686,00;-0,137273
685,00;-0,134637
684,00;-0,133460
683,00;-0,135017
682,00;-0,136736
681,00;-0,132068
680,00;-0,135738
679,00;-0,133124
678,00;-0,134216
677,00;-0,135207
676,00;-0,134917
675,00;-0,134663
674,00;-0,134714
673,00;-0,134614
672,00;-0,134346
671,00;-0,131961
670,00;-0,132791
669,00;-0,134099
668,00;-0,132553
667,00;-0,132252
666,00;-0,129970
665,00;-0,130630
664,00;-0,133180
663,00;-0,130984
662,00;-0,130625
661,00;-0,129139
660,00;-0,128907
659,00;-0,131103
658,00;-0,130871
657,00;-0,124839
656,00;-0,128746
655,00;-0,127625
654,00;-0,127360
653,00;-0,129019
652,00;-0,124488
651,00;-0,128613
650,00;-0,124723
649,00;-0,125711
648,00;-0,124929
647,00;-0,123898
646,00;-0,125321
645,00;-0,123702
644,00;-0,125357
643,00;-0,126949
642,00;-0,123553
641,00;-0,122308
640,00;-0,119786
639,00;-0,124306
638,00;-0,118602
637,00;-0,123586
636,00;-0,121350
635,00;-0,120001
634,00;-0,121166
633,00;-0,122923
632,00;-0,120165
631,00;-0,121734
630,00;-0,120254
629,00;-0,118802
628,00;-0,120813
627,00;-0,119811
626,00;-0,121387
625,00;-0,121326
624,00;-0,120334
623,00;-0,115706
622,00;-0,118433
621,00;-0,119502
620,00;-0,118978
619,00;-0,116658
618,00;-0,118467
617,00;-0,119581
616,00;-0,119408
615,00;-0,117943
614,00;-0,113742
613,00;-0,117601
612,00;-0,115394
611,00;-0,115241
610,00;-0,113694
609,00;-0,115162
608,00;-0,116954
607,00;-0,114393
606,00;-0,113200
605,00;-0,111770
604,00;-0,114062
603,00;-0,113573
602,00;-0,114778
601,00;-0,113836
600,00;-0,110953
599,00;-0,110742
598,00;-0,109287
597,00;-0,107458
596,00;-0,112584
595,00;-0,108105
594,00;-0,107936
593,00;-0,109165
592,00;-0,107027
591,00;-0,103664
590,00;-0,100752
589,00;-0,099960
588,00;-0,099282
587,00;-0,092911
586,00;-0,093884
585,00;-0,086786
584,00;-0,082372
583,00;-0,076549
582,00;-0,071687
581,00;-0,062917
580,00;-0,056718
579,00;-0,045965
578,00;-0,036292
577,00;-0,024331
576,00;-0,014241
575,00;-0,003380
574,00;0,010388
573,00;0,017530
572,00;0,024499
571,00;0,030575
570,00;0,040507
569,00;0,045284
568,00;0,049920
567,00;0,051053
566,00;0,050097
565,00;0,048307
564,00;0,048478
563,00;0,051142
562,00;0,048429
561,00;0,050152
560,00;0,052181
559,00;0,057596
558,00;0,065609
557,00;0,075078
556,00;0,080909
555,00;0,095354
554,00;0,109121
553,00;0,121598
552,00;0,135411
551,00;0,153074
550,00;0,170164
549,00;0,182501
548,00;0,190697
547,00;0,200533
546,00;0,199234
545,00;0,201887
544,00;0,203873
543,00;0,194591
542,00;0,192290
541,00;0,176143
540,00;0,167829
539,00;0,164101
538,00;0,160392
537,00;0,157600
536,00;0,150802
535,00;0,154122
534,00;0,157367
533,00;0,157360
532,00;0,165415
531,00;0,174846
530,00;0,189964
529,00;0,195547
528,00;0,197855
527,00;0,205983
526,00;0,212498
525,00;0,209435
524,00;0,210268
523,00;0,203176
522,00;0,195620
521,00;0,183388
520,00;0,178391
519,00;0,167860
518,00;0,152873
517,00;0,137406
516,00;0,130506
515,00;0,125026
514,00;0,119151
513,00;0,115788
512,00;0,115791
511,00;0,115920
510,00;0,117491
509,00;0,122283
508,00;0,121356
507,00;0,122759
506,00;0,124153
505,00;0,119745
504,00;0,112434
503,00;0,106842
502,00;0,098022
501,00;0,088363
500,00;0,076542
499,00;0,067995
498,00;0,059434
497,00;0,048326
496,00;0,038451
495,00;0,033922
494,00;0,028880
493,00;0,027523
492,00;0,025395
491,00;0,013638
490,00;0,017167
489,00;0,019495
488,00;0,017305
487,00;0,005932
486,00;0,004767
485,00;0,004539
484,00;-0,002292
483,00;-0,017370
482,00;-0,020895
481,00;-0,026031
480,00;-0,034887
479,00;-0,040896
478,00;-0,043243
477,00;-0,050155
476,00;-0,053956
475,00;-0,059828
474,00;-0,061424
473,00;-0,063716
472,00;-0,062324
471,00;-0,071034
470,00;-0,068153
469,00;-0,073058
468,00;-0,073588
467,00;-0,076836
466,00;-0,084765
465,00;-0,086051
464,00;-0,091099
463,00;-0,095685
462,00;-0,095100
461,00;-0,096605
460,00;-0,101267
459,00;-0,109669
458,00;-0,109499
457,00;-0,111023
456,00;-0,111792
455,00;-0,111462
454,00;-0,115183
453,00;-0,110478
452,00;-0,117601
451,00;-0,119637
450,00;-0,123309
449,00;-0,124693
